City, Dist, State, Country
"Modasa","Aravalli","Gujarat","India"
"Bongaon","North 24 Parganas","West Bengal","India"
"Kolkata","test21","test","test"
"Kolkata","test21","test","test"
"Bidhannagar","North 24 Parganas","West Bengal","India"
"Birnagar","Nadia","West Bengal","India"
"Chandannagar","Hooghly","West Bengal","India"
"Chakapara","Paschim Medinipur","West Bengal","India"
"Chandrakona","Paschim Medinipur","West Bengal","India"
"Chittaranjan","Paschim Bardhaman","West Bengal","India"
"Contai","Purba Medinipur","West Bengal","India"
"Kolkata","Kolkata","West Bengal","India"
"Asansol","Paschim Bardhaman","West Bengal","India"
"Siliguri","Darjeeling","West Bengal","India"
"Durgapur","Paschim Bardhaman","West Bengal","India"
"Bardhaman","Purba Bardhaman","West Bengal","India"
"Bangalore","Bangalore Urban","Karnataka","India"
"Hyderabad","Hyderabad","Telangana","India"
"Chennai","Chennai","Tamil Nadu","India"
"Jaipur","Jaipur","Rajasthan","India"
"Lucknow","Lucknow","Uttar Pradesh","India"
"Patna","Patna","Bihar","India"
"Chandigarh","Chandigarh","Chandigarh","India"
"Dehradun","Dehradun","Uttarakhand","India"
"Gandhinagar","Gandhinagar","Gujarat","India"
"Thiruvananthapuram","Thiruvananthapuram","Kerala","India"
"Bhubaneswar","Khordha","Odisha","India"
"Ranchi","Ranchi","Jharkhand","India"
"Shimla","Shimla","Himachal Pradesh","India"
"Aizawl","Aizawl","Mizoram","India"
"Itanagar","Papum Pare","Arunachal Pradesh","India"
"Agartala","West Tripura","Tripura","India"
"Shillong","East Khasi Hills","Meghalaya","India"
"Imphal","Imphal West","Manipur","India"
"Kohima","Kohima","Nagaland","India"
"Gangtok","East Sikkim","Sikkim","India"
"Panaji","North Goa","Goa","India"
"Guwahati","Kamrup Metropolitan","Assam","India"
"Jammu","Jammu","Jammu & Kashmir","India"
"Srinagar","Srinagar","Jammu & Kashmir","India"
"Naya Raipur","Raipur","Chhattisgarh","India"
"Dispur","Kamrup Metropolitan","Assam","India"
"Port Blair","South Andaman","Andaman and Nicobar Islands","India"
"Pondicherry","Pondicherry","Puducherry","India"
"Leh","Leh","Ladakh","India"
"Kavaratti","Lakshadweep","Lakshadweep","India"
"Daman","Daman","Daman and Diu","India"
"Silvassa","Dadra and Nagar Haveli","Dadra and Nagar Haveli and Daman and Diu","India"
"Dibrugarh","Dibrugarh","Assam","India"
"Silchar","Cachar","Assam","India"
"Allahabad","Allahabad","Uttar Pradesh","India"
"Varanasi","Varanasi","Uttar Pradesh","India"
"Kanpur","Kanpur","Uttar Pradesh","India"
